generation,Npop,diversity,encountered,core_pop,core_size
1,55,14,14,47,6
2,118,33,43,100,15
3,140,46,75,111,17
4,113,38,92,88,13
5,90,28,105,75,12
6,76,28,117,56,7
7,164,51,146,117,9
8,289,76,182,204,13
9,593,79,204,396,5
10,577,85,233,377,3
11,390,76,251,263,5
12,574,97,277,367,4
13,887,91,302,579,4
14,888,81,319,523,2
15,938,79,339,601,3
16,956,75,359,609,2
17,992,73,376,653,2
18,997,77,395,660,2
19,929,70,404,578,2
20,955,78,419,620,3
21,979,72,432,653,3
22,964,75,448,616,2
23,917,75,459,558,2
24,980,71,471,633,2
25,981,77,482,635,2
26,969,71,492,628,2
27,969,67,500,627,2
28,935,77,512,605,3
29,945,77,517,610,3
30,930,72,526,571,2
31,973,73,534,628,2
32,929,72,539,574,2
33,933,69,543,581,2
34,934,72,547,583,2
35,968,82,554,621,2
36,917,85,558,556,2
37,940,86,565,591,2
38,971,75,568,627,2
39,948,78,571,603,2
40,959,78,576,614,2
41,962,68,580,619,2
42,1006,67,584,672,2
43,922,78,585,564,2
44,911,78,591,550,2
45,915,85,592,554,2
46,917,80,595,563,2
47,924,82,600,592,3
48,959,81,603,612,2
49,975,75,606,628,2
50,1004,75,610,672,2
51,990,78,612,653,2
52,975,77,614,629,2
53,985,81,619,646,2
54,992,81,621,658,2
55,962,77,622,613,2
56,934,84,626,580,2
57,990,69,630,649,2
58,956,78,636,605,2
59,938,68,638,583,2
60,938,83,641,606,3
61,956,75,645,610,2
62,956,76,650,601,2
63,915,75,653,557,2
64,966,73,656,616,2
65,955,74,656,605,2
66,964,68,661,620,2
67,1002,70,664,664,2
68,977,66,666,630,2
69,990,74,671,653,2
70,951,74,674,605,2
71,940,79,676,587,2
72,929,81,679,569,2
73,961,76,680,612,2
74,994,71,681,652,2
75,1004,66,682,670,2
76,973,73,683,649,3
77,938,76,685,606,3
78,916,84,689,554,2
79,944,69,692,594,2
80,943,80,693,585,2
81,961,73,696,626,3
82,955,75,697,608,2
83,955,67,697,609,2
84,969,73,698,619,2
85,976,78,698,639,2
86,974,80,700,630,2
87,922,81,701,564,2
88,955,78,702,606,2
89,926,75,703,589,3
90,959,81,708,610,2
91,947,74,710,598,2
92,968,80,711,622,2
93,952,78,716,603,2
94,965,83,719,624,2
95,942,77,720,591,2
96,952,73,723,599,2
97,935,70,723,621,4
98,962,78,723,611,2
99,956,72,723,607,2
100,973,73,726,632,2
101,981,76,726,644,2
102,899,73,727,559,3
103,921,78,730,565,2
104,961,75,730,617,2
105,958,67,731,612,2
106,940,67,731,608,3
107,934,76,732,573,2
108,908,79,736,545,2
109,957,77,739,603,2
110,953,67,739,597,2
111,940,69,740,583,2
112,955,80,744,605,2
113,975,82,748,640,3
114,1118,103,765,725,3
115,1218,101,779,772,3
116,1204,89,787,744,3
117,1268,85,798,800,2
118,1308,83,805,858,2
119,1286,79,816,823,2
120,1297,91,824,844,2
121,1242,88,834,776,2
122,1215,82,842,738,2
123,1231,86,854,764,2
124,1242,81,858,782,2
125,1251,88,865,784,2
126,1246,92,875,787,2
127,1224,85,880,757,2
128,1258,82,884,790,2
129,1230,84,891,789,3
130,1248,84,897,784,2
131,1321,79,901,883,2
132,1333,74,905,892,2
133,1238,74,913,771,2
134,1232,77,922,766,2
135,1285,77,928,837,2
136,1225,85,940,756,2
137,1287,80,947,834,2
138,1269,82,949,815,2
139,1241,87,954,783,2
140,1218,82,959,751,2
141,1235,73,960,766,2
142,1236,81,962,763,2
143,1255,90,966,791,2
144,1245,79,969,782,2
145,1286,81,972,842,2
146,1255,76,977,805,2
147,1278,76,980,823,2
148,1297,84,984,851,2
149,1306,85,990,857,2
150,1257,88,992,804,2
151,1238,74,995,771,2
152,1212,76,996,749,2
153,1264,74,997,805,2
154,1230,89,998,763,2
155,1214,93,999,741,2
156,1286,74,1004,841,2
157,1241,86,1007,787,2
158,1251,90,1011,788,2
159,1253,98,1016,789,2
160,1262,98,1022,801,2
161,1227,92,1024,766,2
162,1280,79,1026,828,2
163,1243,81,1028,775,2
164,1260,84,1030,805,2
165,1270,84,1032,840,3
166,1263,90,1033,809,2
167,1282,96,1035,826,2
168,1282,77,1038,827,2
169,1262,81,1041,805,2
170,1267,73,1044,807,2
171,1300,83,1049,850,2
172,1238,83,1050,765,2
173,1253,83,1054,778,2
174,1251,78,1055,774,2
175,1272,88,1058,811,2
176,1300,76,1060,850,2
177,1229,81,1061,787,3
178,1225,82,1063,751,2
179,1265,95,1067,798,2
180,1220,80,1068,759,2
181,1222,81,1070,751,2
182,1221,87,1071,758,2
183,1234,84,1073,768,2
184,1225,88,1076,750,2
185,1206,83,1080,738,2
186,1227,80,1081,756,2
187,1214,80,1083,753,2
188,1245,77,1086,776,2
189,1240,80,1086,770,2
190,1231,79,1086,760,2
191,1231,76,1087,755,2
192,1260,79,1088,805,2
193,1230,85,1090,758,2
194,1287,84,1092,823,2
195,1244,79,1093,772,2
196,1255,82,1095,784,2
197,1259,77,1096,797,2
198,1260,84,1099,796,2
199,1238,83,1102,767,2
200,1235,99,1105,767,2
201,1257,85,1105,794,2
202,1260,84,1106,804,2
203,1225,88,1107,752,2
204,1275,80,1108,825,2
205,1202,81,1109,736,2
206,1259,81,1113,799,2
207,1242,81,1114,780,2
208,1264,79,1116,802,2
209,1267,72,1116,818,2
210,1270,73,1116,801,2
211,1303,80,1118,849,2
212,1218,78,1121,750,2
213,1263,93,1122,799,2
214,1247,88,1127,776,2
215,1260,74,1127,805,2
216,1299,73,1129,853,2
217,1275,83,1130,817,2
218,1298,96,1133,847,2
219,1262,94,1134,800,2
220,1249,85,1135,808,3
221,1235,81,1136,766,2
222,1260,84,1137,784,2
223,1263,80,1141,793,2
224,1281,78,1141,822,2
225,1240,85,1142,778,2
226,1249,85,1144,817,3
227,1236,83,1146,769,2
228,1219,79,1148,744,2
229,1279,83,1151,821,2
230,1251,95,1153,796,2
231,1274,77,1155,820,2
232,1271,87,1156,817,2
233,1238,95,1157,773,2
234,1282,97,1158,825,2
235,1227,84,1161,762,2
236,1288,90,1163,831,2
237,1255,82,1163,796,2
238,1254,77,1163,794,2
239,1261,72,1164,802,2
240,1264,92,1167,810,2
241,1280,81,1167,823,2
242,1270,84,1167,811,2
243,1263,70,1170,800,2
244,1319,72,1177,874,2
245,1256,68,1177,788,2
246,1259,74,1179,809,2
247,1270,80,1181,812,2
248,1281,73,1183,831,2
249,1264,81,1186,807,2
250,1225,80,1187,751,2
251,1244,76,1187,790,2
252,1283,78,1189,832,2
253,1270,81,1190,808,2
254,1329,82,1193,883,2
255,1278,78,1194,826,2
256,1272,78,1196,819,2
257,1234,80,1199,769,2
258,1238,78,1202,777,2
259,1266,76,1202,810,2
260,1239,77,1202,793,3
261,1250,83,1203,786,2
262,1297,83,1207,838,2
263,1260,79,1208,803,2
264,1254,83,1211,800,2
265,1243,89,1211,783,2
266,1230,79,1211,756,2
267,1259,81,1211,804,2
268,1303,72,1215,847,2
269,1223,87,1215,741,2
270,1237,85,1217,771,2
271,1247,93,1217,785,2
272,1188,86,1219,712,2
273,1211,80,1221,740,2
274,1253,77,1223,783,2
