generation,Npop,diversity,encountered,core_pop,core_size
1,16,3,4,16,3
2,19,6,10,19,6
3,15,7,14,15,7
4,44,19,28,44,19
5,65,32,55,65,31
6,102,47,84,68,12
7,273,68,113,178,8
8,320,79,153,202,6
9,240,68,181,155,7
10,255,64,207,186,11
11,533,85,230,332,4
12,582,81,256,362,4
13,350,62,272,232,4
14,202,39,276,144,6
15,119,33,279,89,8
16,124,41,298,98,14
17,316,79,351,219,11
18,364,96,388,244,12
19,236,68,410,145,7
20,228,52,416,145,6
21,286,52,425,211,8
22,205,60,458,146,9
23,223,60,477,161,8
24,218,56,487,149,6
25,164,49,493,107,5
26,118,39,503,80,7
27,137,39,510,102,10
28,203,42,514,131,3
29,369,69,525,243,4
30,334,58,533,261,11
31,222,59,565,188,24
32,188,58,594,137,11
33,103,32,604,81,10
34,70,27,607,53,9
35,79,24,612,63,7
36,146,43,633,106,7
37,154,55,662,115,14
38,166,66,689,120,19
39,157,46,707,118,13
40,132,40,717,88,6
41,223,45,732,163,6
42,282,52,758,200,6
43,310,54,775,202,4
44,327,53,783,208,4
45,325,51,791,212,3
46,362,44,798,231,2
47,320,37,801,213,3
48,347,40,807,221,2
49,357,41,815,248,3
50,352,47,826,240,3
51,333,45,834,216,3
52,319,45,841,193,2
53,343,40,847,239,4
54,327,44,851,213,2
55,343,41,855,233,3
56,334,42,861,213,2
57,338,52,866,224,2
58,342,53,872,232,2
59,342,38,877,238,3
60,366,39,883,247,2
61,346,39,888,239,3
62,354,41,892,238,3
63,333,44,895,218,4
64,341,45,898,221,4
65,318,39,900,219,4
66,351,47,905,235,3
67,321,50,909,205,2
68,338,43,912,220,2
69,328,45,916,214,3
70,345,48,922,232,2
71,339,47,924,222,2
72,350,42,926,234,2
73,353,40,930,238,2
74,372,44,932,255,2
75,337,44,934,223,4
76,317,40,935,195,3
77,339,47,937,232,4
78,311,43,943,204,3
79,339,42,943,215,2
80,319,47,945,210,4
81,361,55,953,241,4
82,366,44,954,249,2
83,328,47,957,211,2
84,316,47,961,208,2
85,326,45,964,211,3
86,322,45,965,193,2
87,339,44,966,211,2
88,349,51,969,217,2
89,319,47,972,209,4
90,361,44,973,251,3
91,354,39,976,243,2
92,346,39,978,237,3
93,344,40,979,222,2
94,346,43,980,217,2
95,379,36,981,262,2
96,355,41,981,241,2
97,366,45,984,254,3
98,377,38,985,255,2
99,390,45,986,265,2
100,371,43,990,258,2
101,395,42,993,276,2
102,365,46,997,240,2
103,329,43,999,207,2
104,337,42,1002,232,4
105,358,49,1003,239,2
106,326,37,1004,211,3
107,320,50,1006,203,2
108,344,44,1008,233,3
109,345,50,1008,226,3
110,363,43,1009,240,2
111,345,43,1010,212,2
112,346,42,1011,215,2
113,352,40,1011,227,3
114,341,43,1012,222,2
115,328,44,1013,216,3
116,360,47,1016,240,2
117,367,47,1016,249,3
118,337,53,1017,206,2
119,351,45,1017,228,2
120,371,43,1017,244,2
121,360,41,1017,246,4
122,363,46,1017,242,2
123,365,37,1018,243,2
124,329,41,1020,229,4
125,334,46,1021,219,3
126,349,43,1022,239,3
127,333,41,1025,211,2
128,346,38,1025,245,4
129,363,41,1025,238,2
130,354,40,1026,234,2
131,324,42,1027,209,2
132,310,40,1029,205,3
133,364,40,1030,239,2
134,336,47,1031,221,3
135,350,42,1032,224,2
136,349,46,1032,212,2
137,342,42,1033,225,2
138,315,48,1034,207,4
139,301,48,1035,201,5
140,318,47,1036,196,2
141,333,42,1037,209,2
142,341,43,1037,229,3
143,344,41,1039,230,2
144,344,44,1041,230,3
145,340,45,1043,216,2
146,331,45,1043,207,2
147,337,43,1044,210,2
148,351,40,1044,236,3
149,326,46,1044,218,4
150,326,48,1046,212,4
151,342,43,1047,226,3
152,356,46,1049,233,2
153,369,43,1052,249,2
154,329,39,1054,222,2
155,327,44,1057,219,3
156,313,48,1068,213,3
157,309,61,1085,223,5
158,424,72,1103,292,5
159,459,68,1114,299,3
160,462,64,1132,304,4
161,466,59,1148,301,4
162,456,64,1162,298,4
163,489,57,1168,324,2
164,468,56,1174,356,9
165,442,55,1181,295,6
166,459,55,1191,306,5
167,465,75,1213,305,5
168,469,70,1226,327,6
169,436,72,1234,333,16
170,448,75,1248,328,11
171,466,84,1264,310,4
172,461,76,1273,340,11
173,439,72,1279,311,9
174,434,82,1289,285,5
175,438,72,1294,286,5
176,449,73,1304,325,10
177,459,77,1317,304,4
178,464,79,1326,318,7
179,462,72,1332,310,5
180,444,70,1338,286,5
181,451,73,1345,305,6
182,449,72,1352,312,7
183,445,70,1359,303,7
184,429,68,1365,324,15
185,436,66,1370,303,7
186,421,69,1377,305,12
187,440,72,1386,287,5
188,231,71,1411,187,26
189,245,71,1425,162,9
190,254,73,1445,159,9
191,145,38,1449,101,7
192,118,32,1452,74,3
193,87,32,1468,62,6
194,84,29,1489,66,10
195,203,62,1526,125,9
196,291,73,1566,221,18
197,693,112,1614,452,6
198,1287,118,1644,792,4
199,1373,103,1670,811,2
200,1453,105,1700,897,2
201,1488,90,1728,950,2
202,1458,86,1742,905,2
203,1477,87,1762,936,2
204,1487,87,1776,953,2
205,1465,93,1795,917,2
206,1475,91,1814,931,2
207,1468,82,1826,922,2
208,1497,93,1836,956,2
209,1507,85,1846,975,2
210,1440,91,1857,897,2
211,1481,98,1871,936,2
212,1509,89,1880,980,2
213,1501,82,1886,971,2
214,1459,90,1896,917,2
215,1477,93,1905,931,2
216,1489,83,1909,953,2
217,1472,96,1918,925,2
218,1507,84,1925,975,2
219,1510,89,1935,972,2
220,1504,90,1939,970,2
221,1515,89,1945,976,2
222,1467,86,1948,924,2
223,1445,93,1954,892,2
224,1514,83,1957,982,2
225,1512,84,1958,976,2
226,1476,87,1961,937,2
227,1519,86,1966,993,2
228,1521,83,1969,989,2
229,1501,84,1970,955,2
230,1455,86,1973,912,2
231,1432,85,1978,880,2
232,1487,91,1982,944,2
233,1489,83,1990,954,2
234,1488,88,1993,968,2
235,1491,92,1995,958,2
236,1472,90,1996,938,2
237,1516,82,1996,991,2
238,1506,80,1997,971,2
239,1491,82,2002,957,2
240,1492,95,2006,956,2
241,1460,92,2012,913,2
242,1498,96,2018,960,2
243,1469,94,2021,932,2
244,1460,94,2029,925,2
245,1445,89,2033,907,2
246,1115,99,2053,704,3
247,573,80,2075,360,3
248,273,80,2109,184,15
249,348,76,2128,245,12
250,277,60,2143,171,3
251,152,38,2152,116,9
252,159,35,2167,117,5
253,134,35,2183,97,4
254,175,38,2198,127,7
255,185,33,2204,127,6
256,178,31,2211,126,7
257,228,32,2217,154,3
258,212,34,2227,140,3
259,179,29,2232,114,3
260,228,35,2241,160,5
261,221,28,2246,156,4
262,208,31,2252,132,2
263,228,32,2255,162,4
264,227,36,2259,157,4
265,230,33,2260,149,2
266,235,32,2266,157,2
267,225,31,2270,146,3
268,232,31,2272,160,5
269,208,31,2277,150,6
270,249,33,2284,165,3
271,203,32,2286,149,5
272,189,34,2291,125,3
273,228,35,2295,158,4
274,246,35,2300,155,2
275,217,30,2305,149,2
276,246,35,2308,167,2
277,253,33,2310,182,2
278,240,30,2312,171,3
279,218,35,2316,144,2
280,209,35,2323,145,2
281,137,37,2345,95,6
282,228,59,2369,156,7
283,150,40,2370,114,11
284,107,33,2373,74,6
285,192,48,2384,129,6
286,234,55,2396,164,8
287,423,78,2417,288,6
288,573,71,2436,404,4
289,568,73,2457,369,3
290,567,71,2472,383,4
291,455,77,2498,307,4
292,319,66,2511,214,3
293,270,42,2515,183,3
294,214,41,2518,136,3
295,227,40,2527,157,4
296,179,37,2532,121,4
297,224,39,2540,147,4
298,202,35,2542,131,3
299,252,37,2551,174,3
300,220,37,2556,152,4
301,234,38,2561,159,2
302,199,36,2565,140,4
303,240,37,2569,168,4
304,164,31,2573,114,5
305,153,37,2579,101,6
306,213,41,2585,147,4
307,207,43,2587,145,5
308,158,36,2592,110,6
309,168,35,2596,115,4
310,204,34,2600,140,4
311,132,28,2604,99,4
312,80,32,2613,59,9
313,97,36,2633,72,10
314,131,49,2649,97,14
315,224,63,2670,161,13
316,392,68,2684,242,5
317,520,67,2696,341,2
318,545,60,2704,371,2
319,539,57,2721,355,2
320,510,56,2731,324,2
321,494,52,2739,319,2
322,488,53,2751,307,2
323,478,53,2756,300,2
324,517,54,2769,365,4
325,533,58,2777,353,2
326,485,63,2788,309,3
327,458,61,2798,304,5
328,466,55,2808,303,3
329,498,58,2813,322,2
330,521,48,2818,352,2
331,518,53,2824,350,3
332,534,56,2830,357,2
333,518,58,2837,342,2
334,528,56,2843,350,2
335,498,53,2852,326,3
336,515,64,2861,327,2
337,476,53,2868,304,3
338,482,57,2873,315,3
339,484,52,2875,324,3
340,487,56,2881,308,2
341,489,57,2887,310,2
342,484,61,2891,309,3
343,495,61,2896,306,2
344,466,57,2901,276,2
345,503,56,2906,325,2
346,491,58,2912,308,2
347,477,59,2919,305,3
348,497,57,2928,323,2
349,521,55,2928,366,3
350,490,61,2931,316,3
351,481,59,2935,316,4
352,475,59,2939,292,3
353,511,60,2945,332,2
354,479,58,2946,305,2
355,463,60,2951,279,2
356,501,54,2954,328,3
357,483,54,2956,304,2
358,494,56,2960,313,2
359,535,63,2967,360,2
360,520,62,2973,348,2
361,527,58,2975,355,2
362,533,58,2978,351,2
363,509,57,2983,321,2
364,543,57,2987,367,2
365,489,62,2994,312,2
366,487,60,2997,301,2
367,458,56,2999,285,3
368,497,57,3002,317,2
369,509,62,3007,336,2
370,518,57,3013,341,2
371,505,59,3018,323,2
372,513,59,3021,329,2
373,495,65,3025,314,2
374,503,61,3030,326,2
375,507,57,3033,345,4
376,467,59,3036,299,3
377,465,55,3037,292,3
378,500,65,3038,319,2
379,504,65,3040,326,2
380,504,66,3042,326,2
381,497,59,3043,318,2
382,503,53,3043,340,3
383,469,57,3047,303,3
384,506,55,3048,333,3
385,481,55,3051,311,4
386,498,61,3054,318,2
387,450,59,3055,278,3
388,494,57,3057,316,2
389,481,58,3061,313,3
