generation,Npop,diversity,encountered,core_pop,core_size
1,63,14,17,49,3
2,78,23,37,61,6
3,195,51,73,143,8
4,519,66,98,340,3
5,1388,81,128,899,2
6,1589,89,163,1027,2
7,1593,82,191,1031,2
8,1540,85,211,976,2
9,1592,79,236,1037,2
10,1607,87,252,1057,2
11,1635,91,275,1095,2
12,1603,88,294,1049,2
13,1568,90,314,1005,2
14,1577,77,329,1011,2
15,1609,73,341,1054,2
16,1586,75,348,1022,2
17,1608,74,362,1056,2
18,1580,83,374,1020,2
19,1595,77,380,1040,2
20,1598,87,386,1041,2
21,1620,75,396,1070,2
22,1618,91,405,1063,2
23,1612,87,412,1059,2
24,1618,88,419,1066,2
25,1411,106,440,904,3
26,798,79,462,512,4
27,435,71,488,285,4
28,323,66,511,209,5
29,423,56,532,289,3
30,708,74,561,472,4
31,739,67,577,445,2
32,767,63,592,479,2
33,834,59,610,570,2
34,795,58,624,513,2
35,798,58,633,515,2
36,819,57,642,544,2
37,822,67,657,541,2
38,796,65,668,515,2
39,791,66,678,510,2
40,809,69,687,525,2
41,793,65,699,503,2
42,816,60,712,543,2
43,748,61,723,458,2
44,757,57,728,472,2
45,803,59,737,520,2
46,811,64,750,530,2
47,788,70,761,507,2
48,799,67,766,522,2
49,823,62,768,543,2
50,756,55,772,470,2
51,773,52,776,484,2
52,804,65,781,528,2
53,799,58,785,523,2
54,804,57,788,530,2
55,835,55,792,562,2
56,791,65,796,516,2
57,779,64,803,502,2
58,814,62,807,533,2
59,804,66,809,528,2
60,835,58,812,563,2
61,800,57,814,526,2
62,768,63,818,485,2
63,818,66,820,536,2
64,802,65,823,524,2
65,736,60,827,448,2
66,752,57,829,495,3
67,775,69,831,502,2
68,808,62,836,539,2
69,812,61,840,549,2
70,763,65,842,483,2
71,798,60,842,525,2
72,771,64,844,520,4
73,820,62,846,546,2
74,811,52,848,533,2
75,840,58,850,571,2
76,793,54,855,507,2
77,804,58,856,554,3
78,790,61,857,510,2
79,818,72,864,546,2
80,778,78,870,494,2
81,807,69,872,530,2
82,812,73,874,539,2
83,784,77,877,512,2
84,788,75,879,514,2
85,819,61,881,547,2
86,825,69,886,550,2
87,800,64,889,524,2
88,816,61,889,541,2
89,801,69,890,535,2
90,782,66,893,503,2
91,781,57,894,507,2
92,793,59,898,518,2
93,812,58,900,540,2
94,804,60,901,537,2
95,781,68,905,504,2
96,781,60,907,494,2
97,717,62,909,429,2
98,824,70,910,534,2
99,788,54,912,508,2
