generation,Npop,diversity,encountered,core_pop,core_size
1,31,10,11,31,9
2,97,27,32,82,11
3,178,40,55,142,10
4,238,51,88,183,10
5,236,54,118,158,4
6,192,47,131,138,7
7,148,44,146,113,12
8,183,55,170,148,17
9,109,38,185,80,9
10,80,30,190,55,5
11,76,31,197,56,8
12,87,34,208,67,11
13,109,32,225,83,7
14,52,23,230,52,20
15,79,29,238,60,7
16,70,28,248,53,7
17,47,28,259,47,23
18,87,42,286,87,37
19,86,41,303,64,14
20,134,57,344,134,52
21,304,104,412,209,21
22,374,107,457,257,13
23,585,95,474,373,4
24,560,74,486,348,5
25,578,76,512,348,3
26,476,86,538,312,6
27,337,76,570,243,11
28,197,52,576,143,9
29,151,42,582,101,3
30,125,44,587,85,7
31,87,37,595,63,7
32,60,32,605,60,26
33,90,37,628,90,31
34,243,59,660,172,9
35,581,93,707,344,3
36,942,89,729,604,3
37,1009,85,751,647,2
38,985,75,778,616,2
39,1006,75,795,658,2
40,999,75,816,634,2
41,970,81,846,613,2
42,875,91,874,562,3
43,819,90,888,532,3
44,751,82,895,485,3
45,634,75,907,416,4
46,635,72,918,426,4
47,797,86,929,509,3
48,814,94,942,521,3
49,729,75,950,495,3
50,755,85,961,510,3
51,779,85,973,502,3
52,800,89,988,516,4
53,851,106,1010,541,4
54,752,103,1028,460,4
55,773,103,1039,476,3
56,779,96,1056,493,3
57,811,98,1066,533,4
58,839,95,1079,548,3
59,832,92,1090,549,4
60,833,89,1099,553,4
61,800,97,1111,509,3
62,849,93,1120,551,3
63,788,97,1133,487,3
64,821,101,1140,516,3
65,760,98,1154,471,4
66,813,94,1157,523,4
67,840,86,1165,551,3
68,865,86,1179,565,3
69,828,87,1185,541,4
70,817,89,1189,531,4
71,816,86,1194,518,3
72,792,93,1202,501,3
73,792,94,1213,502,3
74,835,82,1217,526,3
75,802,89,1227,515,3
76,787,91,1235,485,3
77,811,92,1241,517,3
78,796,80,1244,527,5
79,782,90,1254,505,4
80,820,92,1259,527,4
81,838,93,1268,537,3
82,837,90,1272,537,3
83,858,87,1274,558,3
84,818,87,1277,537,4
85,805,90,1282,507,3
86,838,88,1289,555,3
87,816,98,1298,527,3
88,859,87,1302,555,3
89,824,94,1306,532,3
90,815,90,1310,526,3
91,832,101,1314,527,3
92,782,90,1314,485,3
93,806,102,1325,505,3
94,829,96,1327,530,3
95,845,94,1332,542,3
96,838,94,1337,545,3
97,827,99,1346,537,4
98,866,88,1348,574,3
99,826,95,1354,520,3
100,815,91,1357,522,4
101,822,96,1359,518,3
102,806,94,1363,493,3
103,774,96,1366,494,4
104,794,92,1366,510,4
105,831,91,1371,545,4
106,799,86,1375,521,4
107,781,96,1377,496,5
108,797,89,1380,506,3
109,819,98,1383,512,3
110,854,93,1389,562,3
111,841,95,1393,551,3
112,815,84,1396,545,4
113,863,89,1396,583,4
114,882,92,1400,603,3
115,752,97,1409,500,4
116,414,77,1424,281,6
117,367,76,1426,260,7
118,540,87,1430,371,5
119,525,97,1434,342,6
