generation,Npop,diversity,encountered,core_pop,core_size
1,16,3,3,16,3
2,12,4,5,12,4
3,11,6,10,11,6
4,16,6,13,16,6
5,47,17,26,47,17
6,75,31,50,75,31
7,108,47,89,108,46
8,203,62,125,140,10
9,390,70,153,252,5
10,472,63,165,289,2
11,483,64,182,312,3
12,485,56,192,320,3
13,510,55,206,330,2
14,489,54,220,317,2
15,498,58,234,326,2
16,491,66,254,311,2
17,463,66,276,328,5
18,325,66,292,230,9
19,297,63,302,206,7
20,248,49,307,184,6
21,224,50,314,145,4
22,228,47,320,156,6
23,212,47,326,143,5
24,208,40,329,137,2
25,118,31,331,91,9
26,158,38,337,106,2
27,124,32,345,111,18
28,160,38,360,115,4
29,104,27,364,76,6
30,73,21,372,64,11
31,78,26,384,62,9
32,83,30,402,65,11
33,63,23,404,51,10
34,47,22,418,47,20
35,66,28,428,48,8
36,62,34,446,62,32
37,107,53,482,107,51
38,246,82,522,155,10
39,377,85,551,247,7
40,395,72,567,260,3
41,391,78,595,245,4
42,444,77,608,276,4
43,463,62,612,297,5
44,487,53,621,321,4
45,480,56,634,291,2
46,520,58,646,337,2
47,510,55,652,330,2
48,511,51,659,325,2
49,521,58,672,344,2
50,496,60,680,313,3
51,511,59,690,334,2
52,503,62,700,318,2
53,504,58,710,320,2
54,517,63,721,343,2
55,560,67,729,397,2
56,554,55,734,386,2
57,504,71,754,347,4
58,372,76,787,237,4
59,224,57,799,152,7
60,182,49,805,118,4
61,345,63,830,224,6
62,451,59,848,287,2
63,451,56,867,302,3
64,434,51,877,295,4
65,477,46,889,318,3
66,367,51,895,245,5
67,422,56,909,266,4
68,429,58,915,281,4
69,378,60,925,223,3
70,371,50,930,248,5
71,392,58,937,253,4
72,422,52,942,288,5
73,416,47,945,302,5
74,435,55,952,279,2
75,440,53,958,278,2
76,411,55,962,247,2
77,418,55,969,268,4
78,401,53,974,261,5
79,431,54,980,269,3
80,457,56,986,301,3
81,413,58,991,261,4
82,405,54,995,251,3
83,401,55,999,263,5
84,423,49,1002,278,4
85,462,50,1005,306,3
86,418,56,1010,266,3
87,407,48,1012,257,3
88,450,56,1016,292,3
89,424,55,1020,293,5
90,413,57,1024,258,3
91,384,61,1027,238,4
92,435,62,1032,281,3
93,454,57,1039,294,3
94,423,55,1043,278,3
95,393,59,1044,241,2
96,433,53,1048,281,3
97,418,55,1051,279,3
98,466,46,1055,312,3
99,453,55,1057,311,4
100,405,58,1061,249,4
101,398,53,1062,239,3
102,425,63,1066,257,2
103,393,60,1067,244,3
104,459,54,1067,307,3
105,413,60,1072,265,4
106,396,56,1075,249,3
107,429,54,1075,284,4
108,411,52,1077,261,3
109,412,53,1081,237,2
110,397,59,1083,258,4
111,445,58,1086,296,3
112,442,55,1087,289,3
113,447,54,1090,290,3
114,445,50,1090,290,3
115,405,53,1091,269,4
116,423,55,1095,260,2
117,369,58,1097,220,3
118,431,58,1100,282,4
119,424,58,1102,280,5
120,461,53,1103,321,4
121,440,55,1107,283,3
122,441,55,1109,287,3
123,439,57,1113,286,3
124,453,59,1116,295,3
125,436,63,1120,280,3
126,427,62,1121,268,2
127,443,50,1121,305,3
128,479,53,1126,334,3
129,441,55,1128,297,3
130,441,50,1134,291,2
131,430,56,1137,270,3
132,400,57,1140,264,5
133,347,53,1142,227,6
134,406,57,1145,251,4
135,421,56,1145,263,2
136,367,56,1145,227,3
137,413,57,1148,277,5
138,423,55,1149,291,5
139,418,51,1151,269,3
140,439,55,1154,287,4
141,420,58,1155,250,3
142,401,53,1156,246,3
143,414,50,1157,275,4
144,456,50,1159,296,3
145,433,61,1160,274,4
146,461,62,1162,291,3
147,445,53,1164,294,3
148,408,51,1166,265,4
149,402,42,1166,284,6
150,392,52,1169,243,2
151,444,53,1170,288,2
152,369,61,1170,233,4
153,420,57,1170,287,5
154,388,57,1171,227,2
155,433,55,1173,274,4
156,421,50,1174,275,4
157,416,60,1176,261,3
158,428,57,1176,287,5
159,417,54,1176,281,5
160,420,64,1177,280,4
161,452,64,1179,297,3
162,434,59,1179,274,3
163,464,48,1181,320,4
164,448,55,1184,287,3
165,438,60,1187,285,3
166,437,63,1190,290,3
167,407,57,1193,260,3
168,440,60,1196,301,4
169,419,59,1198,275,4
170,410,54,1199,269,3
171,467,64,1203,314,3
172,444,59,1204,288,3
173,393,60,1206,244,3
174,434,60,1207,301,4
175,443,59,1208,296,3
176,434,58,1210,273,3
177,429,59,1211,273,3
178,420,57,1211,264,4
179,419,61,1216,271,4
180,417,61,1216,265,4
181,417,48,1217,268,4
182,451,47,1218,297,4
183,399,46,1219,241,3
184,438,50,1221,273,3
185,433,47,1222,282,3
186,436,57,1222,271,2
187,400,60,1222,249,3
188,415,58,1223,261,4
189,401,54,1223,274,6
190,376,47,1223,256,5
191,397,45,1224,270,5
192,454,53,1224,301,3
193,453,54,1225,285,3
194,443,55,1227,303,4
195,442,60,1229,297,3
196,420,56,1232,275,3
197,422,56,1232,290,5
198,414,61,1234,258,3
199,402,61,1235,263,4
200,438,54,1238,293,3
201,441,50,1240,289,3
202,422,58,1241,272,4
203,408,54,1242,250,3
204,447,52,1243,286,3
205,433,56,1246,278,4
206,439,58,1248,295,3
207,450,58,1250,302,3
208,435,57,1251,280,2
209,437,53,1252,283,3
210,445,55,1253,297,3
211,440,52,1254,279,3
212,406,56,1254,247,3
213,454,53,1258,302,4
214,404,54,1262,269,5
215,449,48,1262,314,5
216,417,58,1262,265,3
217,388,52,1263,240,3
